# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_5ba12040992f_model
# start_datetime = 2025-03-23 20:41:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp6AKrIc/standata-67526194a6ac.json
# init = 2 (Default)
# random
#   seed = 1850408928
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_mixed1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_mixed1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.357599
# Diagonal elements of inverse mass matrix:
# 0.0136245, 0.014808, 0.0147728, 0.0116819, 0.0439165, 0.0331645, 0.0359427, 0.0451139, 0.037174, 0.0294374, 0.0480676, 0.022318, 0.0394071, 0.0338102, 0.0541446, 0.0412723, 0.0475016, 0.0543884, 0.0322442, 0.0416619, 0.0513529, 0.0408071, 0.0171041, 0.0212399, 0.0505092, 0.0373677, 0.0375779, 0.0381106, 0.0853528, 0.0262815, 0.0316089, 0.0556026, 0.0433811, 0.0401023, 0.0403887, 0.0200535
1471.36,0.961048,0.357599,4,15,0,-1446.9,1.77377,1.70186,1.61398,2.33802,-0.374691,-0.0448187,0.071285,0.180499,0.431032,0.271503,-0.344966,0.56479,0.212855,0.193474,-0.621117,0.0835007,-0.558134,-0.231648,0.424176,0.174173,0.159572,-0.310533,1.66338,1.32392,-0.56723,0.460999,0.177717,0.083784,-1.2181,0.806598,0.566616,-0.46317,-0.139853,-0.338621,0.263831,0.687277
1473.67,1,0.357599,3,7,0,-1460.79,1.81335,1.66186,1.62303,2.36619,-0.384585,-0.00598822,0.0354177,0.106258,0.360087,0.307761,-0.332166,0.583566,0.191665,0.25306,-0.553187,0.163438,-0.404983,-0.362746,0.421022,0.164324,0.121594,-0.338328,1.67844,1.31517,-0.562352,0.366053,0.185167,0.0797624,-1.24012,0.766547,0.60353,-0.608442,-0.138625,-0.427592,0.208113,0.668108
1475.03,0.953118,0.357599,4,15,0,-1454.08,1.65669,1.6325,1.82385,2.35109,-0.476577,0.247157,-0.131726,0.211245,0.00180251,0.393426,-0.1848,0.657661,0.403314,0.606422,-0.557659,0.0264728,-0.606127,-0.181823,0.715235,-0.063314,-0.460535,0.129704,1.65548,1.0271,0.0660699,0.227495,0.11246,-0.359106,-1.31483,0.45864,0.42197,-0.575997,-0.302784,-0.134593,-0.459845,0.513253
1480.28,0.99108,0.357599,4,31,0,-1460.63,1.83,1.71405,1.74694,2.45576,-0.523014,0.29533,-0.100858,0.134429,0.0247234,0.364286,-0.463965,0.619487,0.250484,0.489144,-0.641274,0.1087,-0.505916,-0.310104,0.616878,0.0094926,-0.807452,0.0949125,1.61676,1.00816,-0.222965,0.229266,0.0992514,-0.417712,-1.08968,0.367061,0.509791,-0.488808,-0.432391,-0.149297,-0.126824,0.588818
1485.55,0.936099,0.357599,3,15,0,-1466.08,1.74808,1.71688,1.81235,2.42129,-0.245277,0.198952,0.0244278,0.193675,0.137259,0.0854189,-0.516883,0.572526,0.444178,0.530278,-0.668697,-0.0137398,-0.422169,-0.0808155,0.708027,-0.0437947,-0.457992,0.0565367,1.58687,1.08543,-0.215166,0.303365,0.17894,-0.209546,-0.919587,0.472465,0.308357,-0.503403,-0.358119,-0.00798642,-0.124845,0.508878
1482.67,0.894754,0.357599,3,7,0,-1471,1.75712,1.58867,1.71613,2.31469,-0.389443,0.0820308,0.197161,0.255987,0.345352,0.231125,-0.371854,0.601392,-0.0191992,0.498219,-0.733691,0.234957,-0.288518,-0.244558,0.471971,-0.197977,-0.515301,-0.0168614,1.72715,1.18635,-0.721041,0.417048,0.260951,-0.106897,-0.560418,0.586928,0.507312,-0.711069,-0.208488,-0.191984,-0.106745,0.520203
1482.75,0.910705,0.357599,3,15,0,-1467.22,1.67727,1.76419,1.77358,2.40169,0.102261,0.0629399,-0.0470828,-0.110432,0.143991,0.0965603,-0.300074,0.338648,0.329869,0.261654,-0.494713,0.040173,-0.218953,-0.0814031,0.465123,0.0186129,-0.317125,-0.167009,1.63772,0.994274,-0.275283,0.103176,-0.191527,0.0440015,-1.16086,0.511741,0.500716,-0.226213,0.0375587,-0.222372,-0.207778,0.49364
1480.6,0.936456,0.357599,4,15,0,-1467.53,1.69976,1.78668,1.79151,2.43847,-0.348404,0.0768592,0.179331,-0.162714,0.19106,0.306011,-0.662972,0.84129,0.00100083,0.158013,-0.740962,0.212092,-0.424838,-0.041336,0.434595,-0.256909,-0.633855,-0.351648,1.62876,0.950034,-0.084949,0.146091,0.41743,-0.268601,-0.931176,0.660433,0.252542,-0.980204,-0.159086,0.322065,-0.156368,0.640491
1478.69,0.862799,0.357599,4,15,0,-1464.67,1.68905,1.52361,1.74524,2.36578,-0.0417816,0.19798,0.0260178,0.14889,0.332909,0.0600466,-0.138221,0.410828,0.473987,0.364158,-0.556796,-0.0364394,-0.138736,-0.410362,0.616653,0.0050667,-0.256188,-0.0947273,1.69424,1.15746,-0.28733,0.433878,-0.156881,0.221644,-0.853474,0.449368,0.545999,-0.291605,-0.153645,-0.481585,-0.0829396,0.468563
1469.18,0.702489,0.357599,4,15,0,-1452.69,1.71335,1.64162,1.56861,2.4201,-0.150113,0.339236,0.0072944,-0.0667171,0.359101,0.162043,-0.0439828,0.263219,0.219993,0.274161,-0.607027,-0.0492721,-0.743945,-0.126284,0.303607,-0.155269,-0.228526,-0.444661,1.75655,0.971921,-0.00815893,0.2347,-0.15573,0.123916,-0.583908,0.716437,0.514106,-0.63247,0.150767,-0.36444,0.352936,0.469074
1472.82,0.990974,0.357599,4,15,0,-1449.74,1.66292,1.67064,1.81026,2.30622,-0.0715858,0.231739,0.120979,0.330783,0.381456,0.144302,-0.365503,0.382282,0.524219,0.384152,-0.467604,0.465677,-0.550846,-0.195918,0.523669,-0.405767,-0.348115,-0.00832477,1.7069,1.22497,-0.144947,0.0834334,-0.230767,0.0750196,-0.771186,0.67774,0.0598394,-0.764111,-0.0756495,0.0633946,-0.38573,0.519609
1474.47,0.704122,0.357599,3,15,0,-1446.92,1.65952,1.66328,1.61281,2.3715,-0.167662,0.346126,-0.215383,0.000799823,0.187566,0.1319,-0.0633462,0.654212,0.322896,0.416507,-0.286684,-0.0467513,-0.523544,-0.340294,0.729281,0.0439049,-0.352779,-0.646998,1.64206,1.26117,-0.165207,0.099821,0.189295,-0.0829365,-0.611264,0.458673,0.391338,-1.03062,-0.331938,-0.407491,-0.0697135,0.642663
1482.88,0.833292,0.357599,4,15,0,-1452.66,1.81695,1.79688,1.86467,2.51964,-0.070765,0.0865312,0.161218,-0.149703,0.163267,0.0878235,-0.563717,0.602625,-0.0353993,0.0884692,-0.598414,0.0246144,-0.034693,-0.207824,0.137166,-0.218191,-0.742793,-0.145776,1.60233,0.777899,-0.223157,0.365273,0.158383,-0.141576,-1.0358,0.398757,0.39533,-0.392325,0.0396118,-0.0436626,-0.152986,0.388781
1478.79,0.673249,0.357599,3,7,0,-1458.04,1.79053,1.7419,1.77622,2.43047,-0.515725,-0.0743142,0.0564947,-0.0258377,-0.0222334,0.287,-0.16429,0.559141,0.104902,0.264832,-1.07299,-0.178548,-0.604144,-0.469943,0.313351,-0.0800926,-0.51139,-0.217936,1.47518,1.05006,0.0480405,-0.0907263,0.173935,-0.00778728,-0.717323,0.487194,0.188448,-0.845831,-0.359576,0.10107,-0.484803,0.52184
1479.28,0.940469,0.357599,3,7,0,-1458.86,1.73931,1.7241,1.80871,2.36288,-0.0128757,0.123515,-0.0577669,-0.242127,0.284435,0.0208432,-0.878147,0.593518,0.119044,0.215776,-0.712287,0.0751718,-0.0529403,-0.194499,0.486288,-0.263096,-0.441409,-0.365828,1.58763,0.895209,-0.703684,0.441018,-0.0404892,-0.172356,-1.41869,0.410343,0.426952,-0.543164,-0.098662,-0.371522,0.0590125,0.613256
1477.01,0.915012,0.357599,4,15,0,-1463.25,1.72339,1.67885,1.68185,2.25347,-0.00576757,0.412907,-0.0398215,-0.100983,0.357813,0.198024,-0.238995,0.689355,0.151685,0.125643,-0.427616,-0.00748646,-0.197214,-0.229377,0.531348,0.0989425,-0.635984,0.013153,1.61926,0.912221,-0.794628,0.484556,0.0550206,-0.0288913,-0.970854,0.529668,0.334812,-0.699976,-0.0147049,-0.21315,0.0642396,0.489264
1476.08,0.980054,0.357599,4,31,0,-1459.22,1.62505,1.56412,1.70892,2.3968,0.103727,0.113083,0.49219,0.226916,0.484004,0.570938,-0.424462,0.696275,0.204409,0.663745,-0.317426,0.0715441,0.0299807,-0.124123,0.6437,-0.308924,-0.265444,-0.09619,1.77111,1.15646,-0.382065,0.45513,0.252643,-0.0529254,-0.841799,0.575907,0.200764,-0.499724,-0.505289,0.133731,0.0542419,0.592513
1474.47,0.924575,0.357599,4,31,0,-1459.38,1.72826,1.83652,1.85744,2.53528,0.0640695,0.338129,0.091765,0.0844571,0.207172,0.0605405,-0.213497,0.691142,-0.0544905,0.56933,-0.855179,-0.137597,-0.485478,-0.122438,0.409028,-0.479137,-0.788731,-0.184551,1.64666,0.996632,-0.333134,0.216028,0.242003,-0.0511774,-0.865246,0.478142,0.139678,-0.808919,-0.627496,0.140882,0.0957468,0.547321
