# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_5f946e643045_model
# start_datetime = 2025-01-28 16:00:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp02Z0LP/standata-43d567389ea3.json
# init = 2 (Default)
# random
#   seed = 208766883
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_mixed2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_mixed2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.353006
# Diagonal elements of inverse mass matrix:
# 0.0161009, 0.0169884, 0.0166236, 0.013645, 0.0475857, 0.0327808, 0.0372598, 0.0485971, 0.0348495, 0.037434, 0.0525685, 0.0275391, 0.0410617, 0.0367249, 0.0704779, 0.0426119, 0.0500641, 0.0522695, 0.0311296, 0.0443528, 0.0653784, 0.0472225, 0.0198281, 0.0243012, 0.0475171, 0.0375727, 0.0394293, 0.0491096, 0.0758509, 0.0304844, 0.0312909, 0.0578402, 0.0558357, 0.0449262, 0.0466869, 0.0240602
1479.07,0.917486,0.353006,3,15,0,-1464.47,1.75236,1.58039,1.76206,2.36776,-0.260565,0.0959431,-0.116106,-0.309303,0.181937,0.435611,-0.430176,0.761504,0.20922,0.53209,-0.92322,0.0128898,-0.395846,-0.0392493,0.381118,-0.4331,-0.314624,-0.346884,1.74587,1.15682,-0.172926,0.170828,0.104378,0.175545,-0.695839,0.51613,0.438613,-0.41271,-0.540233,-0.240624,-0.569555,0.582652
1483.71,0.827625,0.353006,3,7,0,-1456.98,1.77311,1.67537,1.82466,2.41879,-0.000758734,0.0269655,0.103465,0.16795,0.300561,0.069787,-0.483384,0.510429,0.137446,0.167949,-0.208497,-0.0692536,-0.275935,-0.353374,0.439139,-0.103253,-0.425692,-0.299784,1.59696,0.933279,-0.25693,0.341927,0.174598,-0.207341,-1.49287,0.544349,0.384712,-0.921598,-0.189883,0.217983,0.21242,0.520085
1481.07,0.81911,0.353006,4,15,0,-1466.16,1.84894,1.88649,1.82612,2.49174,-0.410261,0.140232,0.0419605,-0.333553,0.0472693,0.137975,-0.127727,0.655384,0.19608,0.326448,-1.16236,0.136453,-0.570132,-0.324505,0.41446,-0.196107,-0.605766,-0.467143,1.49655,1.01146,-0.328061,0.153586,0.0884004,-0.0788979,-0.476325,0.480191,0.169038,-0.39258,-0.332212,-0.371039,-0.669729,0.539337
1481.26,0.959952,0.353006,3,15,0,-1468.46,1.90836,1.78258,1.97759,2.59875,-0.489084,-0.200679,0.0277562,0.0821276,0.105134,0.0597826,-0.812398,0.276955,-0.0723545,-0.0154197,-0.567794,-0.288564,-0.206168,-0.497162,0.377931,-0.196894,-0.46131,-0.198933,1.59038,0.790325,-0.237057,0.360636,0.0127617,-0.0464945,-1.12622,0.419164,0.0205315,-0.829029,-0.288067,-0.45577,0.0312648,0.495138
1479.98,0.986887,0.353006,4,15,0,-1467.5,1.73649,1.64951,1.72056,2.47017,-0.199379,0.269839,-0.0820377,-0.328103,0.232982,0.15963,-0.333596,0.838239,0.327892,0.467506,-0.831435,0.180076,-0.617696,-0.116704,0.440243,-0.294239,-0.619694,-0.610483,1.7202,1.12715,-0.420353,0.0181513,0.150406,-0.211066,-0.882106,0.554547,0.565801,-0.49678,-0.208054,0.195083,-0.46351,0.566292
1483.06,0.99586,0.353006,3,15,0,-1468.86,1.77858,1.71427,1.74204,2.38822,-0.162993,0.144986,0.057555,-0.166441,0.0443762,0.214862,-0.276776,0.582516,0.286829,0.229312,-0.793073,-0.0428676,-0.210931,-0.359822,0.485401,0.048953,-0.757883,-0.430366,1.59712,0.986192,-0.432687,0.190766,0.370655,-0.03637,-0.943912,0.533689,0.599601,-0.63966,-0.482212,0.095483,-0.59709,0.676924
