# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_4c3a5b56e9b4_model
# start_datetime = 2025-01-25 18:28:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp94u10k/standata-4e5962057824.json
# init = 2 (Default)
# random
#   seed = 109822251
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_mixed3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_mixed3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.384393
# Diagonal elements of inverse mass matrix:
# 0.0133176, 0.0137241, 0.0138735, 0.0112862, 0.0399083, 0.0367575, 0.0413239, 0.043585, 0.032341, 0.0351268, 0.0572174, 0.027457, 0.033578, 0.0319627, 0.062839, 0.0360012, 0.0581401, 0.0485307, 0.032363, 0.0377712, 0.0484345, 0.0477178, 0.016993, 0.0213263, 0.0434379, 0.0371346, 0.0319873, 0.0406658, 0.0732105, 0.0311462, 0.0286056, 0.0542402, 0.0464473, 0.0459408, 0.0434714, 0.0217095
1477.7,0.863918,0.384393,3,7,0,-1461.68,1.75106,1.80044,1.78138,2.33593,-0.409461,-0.00843009,0.114382,-0.0476164,0.270946,-0.124401,-0.0380049,0.571038,0.00439994,0.391539,-0.981403,0.0437827,-0.0320761,-0.382429,0.575636,-0.0133769,-0.197804,-0.659714,1.61326,1.14475,-0.148701,0.213552,0.228668,0.196487,-1.38217,0.43241,0.362759,-0.696725,-0.199963,-0.0100005,-0.207704,0.455746
1476.54,0.938959,0.384393,4,15,0,-1460.18,1.85663,1.96922,1.9075,2.51329,-0.103393,0.207458,-0.183926,-0.28895,0.0978265,-0.0097182,-0.860727,0.505873,0.172555,0.283152,-0.502658,-0.0635287,-0.654009,-0.330735,0.565505,-0.430243,-0.927132,0.0477382,1.601,0.948595,-0.387503,0.24203,-0.125188,-0.505703,-0.742366,0.597279,0.0907234,-0.694229,-0.225157,-0.242604,-0.171645,0.641276
1477.27,0.984697,0.384393,4,15,0,-1461.42,1.86288,1.89535,1.96706,2.69853,-0.37888,-0.00590019,-0.301199,-0.354978,-0.0233394,-0.197539,-1.17139,0.379784,0.113856,0.203545,-0.662121,-0.0498668,-0.740288,-0.383258,0.444137,-0.479588,-0.786582,-0.183419,1.43726,0.836326,-0.439263,0.150069,-0.0683405,-0.469273,-0.66587,0.487631,0.0859345,-0.641227,-0.676874,-0.369386,-0.333878,0.684098
1475.99,0.808267,0.384393,3,7,0,-1460.96,1.88753,1.93074,1.93487,2.58693,-0.466236,-0.197982,-0.254793,-0.290532,-0.0933942,-0.239777,-1.17524,0.285142,0.163703,0.189229,-0.681591,-0.0140946,-0.630801,-0.433262,0.478058,-0.502124,-0.708212,-0.190579,1.38173,0.788609,-0.379281,0.215611,-0.00172785,-0.35015,-0.538409,0.451373,0.0401388,-0.622995,-0.650235,-0.319467,-0.382987,0.697772
1479.42,0.988526,0.384393,3,7,0,-1463.46,2.00485,1.8357,2.02673,2.59332,-0.490128,-0.321444,0.00125209,-0.386523,-0.190125,0.175436,-0.886594,0.532334,-0.157309,0.0385759,-0.366534,-0.0368007,-0.531789,-0.341317,0.303885,-0.451012,-0.684607,-0.464314,1.59034,0.924292,-0.409471,0.129446,0.220068,-0.0888599,-0.73874,0.221782,0.330517,-0.716479,-0.399794,-0.215794,-0.206039,0.562035
1477.92,0.983458,0.384393,3,7,0,-1463.75,1.78967,1.85289,1.88475,2.55396,-0.505576,-0.0529156,-0.199217,-0.0315056,0.148932,0.04194,-0.363732,0.563816,-0.326085,0.369455,-0.622816,0.117547,-0.216813,-0.298909,0.448989,-0.277462,-0.573874,-0.408208,1.38347,0.870725,-0.498005,0.142005,0.0777544,-0.186314,-0.805769,0.176609,0.175344,-0.837546,-0.52985,-0.496179,-0.754478,0.495106
1474.57,0.970977,0.384393,3,7,0,-1459.18,1.95316,1.72494,1.85934,2.53146,-0.371045,-0.156206,0.0862128,-0.347537,0.0782538,0.0177586,-0.937764,0.336203,0.311281,-0.0315804,-1.11835,-0.297213,-0.744528,-0.448674,0.18584,-0.394888,-1.12047,-0.346027,1.57127,0.868842,-0.188112,0.00811613,0.0177154,-0.137758,-1.09557,0.601471,0.249385,-0.705049,-0.280319,0.0745978,0.157323,0.620522
1475.02,0.916262,0.384393,3,7,0,-1458.1,1.86652,1.77652,1.83135,2.61772,-0.339643,-0.00256871,0.120938,-0.437681,0.128205,0.0426346,-0.920837,0.349827,0.339527,-0.0352541,-1.01979,-0.419191,-0.706013,-0.521417,0.209586,-0.434856,-1.00788,-0.439663,1.59777,0.753118,-0.145031,-0.0438336,0.0346836,-0.0682524,-1.05528,0.557066,0.273533,-0.65071,-0.308867,0.0544744,0.0303459,0.582504
1482.67,0.903003,0.384393,4,15,0,-1459.31,1.8558,1.87409,1.8292,2.4318,-0.235178,-0.0374101,0.0756852,-0.318511,0.167125,0.145179,-0.661581,0.577208,0.214816,0.157003,-0.921194,0.170062,-0.396799,-0.350721,0.529058,-0.341481,-0.739379,-0.115846,1.63484,0.92984,-0.163469,0.310408,-0.140026,-0.112387,-1.17385,0.465898,0.635109,-0.970665,-0.515894,0.0252995,-0.263308,0.51449
1482.57,0.990465,0.384393,3,15,0,-1470.77,1.84584,1.78183,1.90372,2.46261,-0.256429,-0.128366,-0.0240195,-0.233663,0.0461551,0.0199913,-0.62635,0.551095,-0.00361828,0.267614,-0.986984,0.0560116,-0.372927,-0.437101,0.712419,-0.287635,-0.526093,-0.0685551,1.61495,1.01021,-0.488218,0.276682,-0.0931135,-0.0198416,-0.878869,0.426296,0.604827,-1.08891,-0.385619,-0.00377514,-0.327834,0.599894
1481.88,0.969957,0.384393,3,15,0,-1468.7,1.78243,1.70185,1.82406,2.47404,-0.341381,-0.0809012,0.0896469,-0.306053,0.085675,0.218067,-0.558768,0.565032,0.0611597,0.2471,-0.736393,0.0525608,-0.479598,-0.429503,0.500526,-0.459596,-0.406278,0.174633,1.56939,0.916412,-0.402292,0.447383,0.108486,-0.0485404,-1.16704,0.474795,0.515098,-1.28981,-0.120518,-0.104809,-0.162239,0.519665
1479.57,0.877179,0.384393,3,7,0,-1463.74,1.86209,1.85893,1.85969,2.43889,-0.548684,0.0494415,-0.106159,0.285359,0.339366,-0.075981,-0.643399,0.519062,0.016255,0.275649,-0.558748,-0.369971,-0.416715,-0.091727,0.223632,-0.235905,-0.796881,-0.695503,1.57872,0.973064,-0.330265,0.0406568,0.314785,-0.159265,-1.35636,0.491113,0.180199,-0.741313,-0.171971,-0.0693883,-0.118448,0.597372
1472.91,0.714084,0.384393,3,7,0,-1455.65,1.89834,1.73848,1.93282,2.52529,-0.281028,0.276508,-0.123085,0.197781,0.0483968,-0.0289202,-0.602819,0.697364,-0.0225698,-0.0699925,-1.04295,-0.234944,-0.474798,-0.140782,0.557715,0.103182,-0.755751,-0.263992,1.58578,0.974915,-0.46044,-0.115665,0.119464,0.136372,-1.00567,0.0564132,0.487124,-0.599097,-0.214638,-0.156363,-0.0170494,0.51742
1473.16,0.91413,0.384393,3,7,0,-1452.98,1.75139,1.78869,1.71024,2.40613,-0.175296,0.027842,-0.0873217,-0.181223,-0.027963,-0.000237055,-0.46996,0.159702,0.139357,0.371305,-0.471922,0.415993,-0.331458,-0.2633,0.298372,-0.312344,-0.248986,-0.384469,1.64367,1.10307,-0.608926,0.382835,0.00807328,-0.110707,-0.804489,0.767015,-0.0389637,-0.529972,-0.172792,-0.0748242,-0.426655,0.441745
1469.36,0.926122,0.384393,3,7,0,-1448.74,1.76113,1.6754,1.86769,2.43072,-0.581018,0.122483,-0.186114,0.167107,-0.032796,0.111969,-0.117695,1.00325,0.430805,-0.0929789,-0.497351,0.127866,-0.345537,-0.306813,0.610247,-0.170528,-0.687415,-0.625683,1.5716,0.860356,-0.155711,0.168518,0.0220317,0.385141,-0.665371,0.403621,0.468031,-0.701162,-0.268995,0.173292,-0.218362,0.514248
1471.53,0.788967,0.384393,3,7,0,-1446.13,1.83668,1.77333,1.70921,2.40441,-0.250785,0.027882,0.197124,0.00198212,0.382541,0.110281,-0.882799,0.446984,-0.197831,0.146789,-0.668133,0.0515866,-0.140546,0.0949277,0.317773,-0.0357754,-0.478822,0.0596526,1.64739,0.886589,-0.27877,0.208201,0.161561,-0.487264,-1.27458,0.530718,-0.00417008,-0.329325,-0.0815825,-0.621744,-0.0985528,0.513881
1481.91,0.972541,0.384393,3,7,0,-1456.81,1.71734,1.864,1.81896,2.42146,-0.0570761,0.142105,0.393296,-0.0174139,0.101541,0.0531794,-0.354425,0.670227,-0.00863645,0.220582,-0.568899,-0.100588,-0.270835,-0.201335,0.387778,-0.076124,-0.429098,-0.207393,1.71821,1.18971,-0.240251,0.174259,0.151609,0.0872913,-0.613892,0.661591,0.20214,-0.696073,-0.255359,-0.418458,-0.0207982,0.534607
1478.4,0.974885,0.384393,3,7,0,-1468.71,1.72678,1.53028,1.6768,2.38811,-0.27867,0.258547,-0.111528,0.172279,0.166941,-0.174509,-0.629673,0.657242,0.419223,0.353227,-0.55327,0.00899152,-0.491138,-0.201958,0.537282,-0.280709,-0.544387,-0.450922,1.70092,1.09847,-0.135631,0.457317,0.141751,-0.0802314,-0.928682,0.567672,0.253215,-0.259913,0.0568681,0.402568,-0.32926,0.54153
1473.66,0.770078,0.384393,4,15,0,-1455.83,1.97799,1.73526,1.93917,2.56432,-0.903136,-0.111098,0.00410285,-0.37412,0.0407584,0.278566,-0.39134,0.285002,-0.242318,0.247353,-0.738127,-0.029913,-0.585983,-0.586639,0.437004,-0.61309,-0.527471,-0.380272,1.57094,0.994202,-0.299228,0.166279,0.176333,-0.169619,-0.768533,0.462154,0.117302,-1.19319,-0.663825,-0.225394,0.0960887,0.54747
1480.48,1,0.384393,3,7,0,-1461.93,1.8676,1.98509,1.92524,2.57916,-0.571223,-0.35503,6.44355e-05,0.0866242,-3.11805e-05,-0.0971788,-0.58849,0.596733,0.11418,-0.0807371,-1.20833,-0.171954,-0.366884,-0.34809,0.32883,-0.0597041,-0.772927,-0.381302,1.39406,0.932829,-0.621382,0.0264902,0.205919,-0.043631,-1.04118,0.32151,0.153823,-0.880891,-0.28614,-0.441275,-0.369676,0.61994
1479.14,0.758512,0.384393,4,15,0,-1466.48,2.03387,1.8157,2.03095,2.67763,-0.277963,-0.0916072,-0.187206,-0.243564,0.10455,-0.28195,-0.387255,0.327239,-0.0040621,-0.0109398,-1.02331,-0.0151923,-0.258219,-0.393625,0.301642,-0.278114,-0.688114,-0.572268,1.60489,0.741536,-0.166292,0.063938,-0.263287,-0.434728,-0.898189,0.254674,0.355904,-0.965252,-0.345672,-0.545357,-0.438097,0.566079
