# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_4c3a5b56e9b4_model
# start_datetime = 2023-10-16 17:58:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/Rtmp2fBAYL/standata-4c3aa80ec6a.json
# init = 2 (Default)
# random
#   seed = 1939976623
# output
#   file = /home/lbelzile/Documents/Dropbox/Enseignement/MATH80601A/models/Poisson_mixed3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Dropbox/Enseignement/MATH80601A/models/poisson_mixed3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.355207
# Diagonal elements of inverse mass matrix:
# 0.0142942, 0.0144363, 0.0146389, 0.011347, 0.0485841, 0.0333088, 0.0380966, 0.0401972, 0.0290518, 0.0329391, 0.0590378, 0.027296, 0.0332223, 0.0424525, 0.0694587, 0.0381089, 0.0507955, 0.0525861, 0.0266367, 0.0437851, 0.0552313, 0.0516349, 0.0160384, 0.0199687, 0.0472394, 0.0305978, 0.0342427, 0.0417027, 0.0746887, 0.0294799, 0.0318594, 0.0666352, 0.0443136, 0.0401794, 0.0384171, 0.022383
1483.86,0.897083,0.355207,3,15,0,-1470.36,1.6738,1.7644,1.74087,2.3091,-0.064482,0.07461,0.0284731,-0.0315954,0.12484,0.0153517,-0.535094,0.709507,0.425282,0.328727,-0.648411,0.0695214,-0.315547,-0.333211,0.684158,-0.188028,-0.594777,-0.279219,1.71231,1.08864,0.050286,0.273043,0.249285,-0.120259,-0.387047,0.349959,0.304953,-0.428189,-0.148748,-0.186581,-0.0513019,0.545769
1481.94,0.719307,0.355207,4,15,0,-1461.37,1.71962,1.79427,1.9218,2.33477,-0.391448,0.105937,0.115874,-0.100159,0.273513,0.248612,-0.357277,0.508242,-0.0484324,0.101013,-0.589868,-0.0102407,-0.332288,-0.174333,0.231207,-0.184989,-0.50026,-0.265829,1.69967,0.962223,-0.493374,0.248355,0.0133887,-0.0288544,-1.48352,0.674711,0.434101,-0.926783,-0.232953,-0.0312703,-0.2274,0.516173
1475.52,0.957194,0.355207,4,15,0,-1464.27,1.83101,1.67291,1.69201,2.52926,0.107569,0.170471,0.0439096,-0.213103,0.336752,0.227367,-0.344476,0.619047,0.227538,0.320435,-0.322306,-0.171961,-0.181418,-0.425873,0.551079,-0.268782,-0.208125,-0.518327,1.58072,0.957125,-0.326911,0.470975,0.0170804,-0.606699,-0.696783,0.597692,0.297873,-0.789655,0.136366,0.00234203,-0.138345,0.451673
1478.6,1,0.355207,4,15,0,-1461.14,1.68939,1.7994,1.78647,2.38342,-0.30924,0.198778,0.236115,0.134941,0.262038,0.214189,-0.402772,0.80863,0.438146,0.42973,-0.174868,0.0188382,-0.218382,-0.157471,0.56175,0.0110637,-0.248145,-0.496581,1.70619,1.05471,-0.436637,0.296688,0.255207,-0.432859,-0.866628,0.677296,0.502145,-0.577744,-0.0302575,-0.441532,-0.44723,0.561938
1471.55,0.824237,0.355207,4,15,0,-1457.86,1.63097,1.63503,1.91714,2.35709,-0.513514,0.103754,0.316306,0.132474,0.254069,0.34889,-0.216114,0.605993,0.534577,0.493153,-0.306903,-0.052158,0.0176136,-0.075409,0.500966,0.0351254,-0.348784,-0.708317,1.55476,1.05717,-0.214106,0.313707,0.0375987,-0.226962,-0.781801,0.723383,0.523317,-0.366707,-0.0134621,-0.365486,-0.499364,0.548913
1474.96,0.998554,0.355207,3,7,0,-1451.2,1.62512,1.67005,1.63947,2.35015,-0.43061,0.106162,0.0242096,0.381383,0.314957,0.0789289,-0.169825,0.754647,0.312362,0.3094,-0.0925893,0.200728,-0.46226,-0.472768,0.542315,0.110417,-0.709568,-0.398144,1.7645,0.919628,0.0899568,0.337311,0.174158,-0.218289,-0.709841,0.400256,0.524655,-0.564102,0.0531516,-0.0267445,-0.174299,0.383545
