# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_5f945c2e1f46_model
# start_datetime = 2025-03-23 20:41:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmp6AKrIc/standata-675267377fda.json
# init = 2 (Default)
# random
#   seed = 605182454
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_mixed4-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_mixed4-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.389941
# Diagonal elements of inverse mass matrix:
# 0.0136714, 0.0138405, 0.0142458, 0.0120083, 0.0442404, 0.0396619, 0.0367165, 0.0458599, 0.0397475, 0.0388358, 0.0566981, 0.0244125, 0.0342435, 0.0332419, 0.0583725, 0.0338551, 0.0538114, 0.0472021, 0.0317692, 0.0434542, 0.0600762, 0.0498804, 0.013865, 0.0195583, 0.0470349, 0.0315084, 0.0356537, 0.0433257, 0.0676773, 0.0300149, 0.0326694, 0.0669048, 0.0455779, 0.0444288, 0.047319, 0.0251392
1477.95,0.739801,0.389941,3,7,0,-1455.82,1.49996,1.46523,1.57562,2.16149,-0.154328,0.288917,0.380247,0.148603,0.448337,0.337724,-0.348242,1.06347,0.426489,0.669348,-0.417011,0.100215,-0.635073,-0.0279987,0.987,0.0268235,0.06798,0.0955279,1.83143,1.30692,-0.275007,0.420544,0.259905,0.227168,-1.27002,0.685642,0.354959,-0.515183,0.0574653,0.0998763,0.133609,0.579865
1478.45,0.948231,0.389941,3,15,0,-1460.01,1.56881,1.465,1.65491,2.27658,-0.157889,0.298472,0.188775,0.32919,0.307797,0.00593555,-0.480593,0.976017,0.473565,0.604723,-0.732968,-0.16701,-0.374678,-0.305204,0.835117,0.172723,-0.299239,0.0501962,1.85082,1.37689,-0.195014,0.386784,0.201451,0.0517492,-0.976992,0.714729,0.375336,-0.644013,-0.0573881,0.0972457,0.112952,0.508541
1481.91,0.993936,0.389941,3,7,0,-1463.59,1.66221,1.66633,1.72282,2.35021,-0.0398288,0.128429,0.195159,-0.212899,0.394928,0.544684,-0.214044,0.507186,0.0843934,0.197267,-0.588209,0.391041,-0.0171652,-0.0887359,0.346964,-0.273397,-0.491525,-0.350444,1.76642,0.985757,-0.0175074,0.40059,0.315834,0.0973185,-0.703479,0.615246,0.600196,-0.484865,-0.0736515,-0.0155115,-0.178954,0.641123
1478.51,0.912884,0.389941,3,7,0,-1466.24,1.71526,1.6652,1.7149,2.38339,-0.289112,0.185231,-0.170164,0.0172502,0.358983,0.0228501,-0.537409,0.710583,0.326808,0.372412,-1.07487,0.22352,-0.456323,-0.194984,0.73975,-0.0121332,0.0701357,0.0329802,1.68266,1.09159,-0.624864,0.495793,0.0429491,0.108592,-1.14536,0.638864,0.226275,-0.527109,-0.317311,0.00678047,-0.170794,0.694053
1472.29,0.910995,0.389941,3,15,0,-1458.91,1.73054,1.64876,1.75568,2.40782,-0.206315,0.0502392,-0.223469,0.00844784,0.181921,-0.328419,-0.3412,0.690178,0.414985,0.458363,-0.96829,0.186223,-0.670595,-0.397647,0.570169,-0.174139,-0.382645,-0.0823128,1.6131,1.23163,-0.88783,0.472643,-0.0200078,0.0126873,-1.08433,0.611782,0.375229,-0.447963,-0.479419,0.0426612,-0.455471,0.704671
1472.74,0.82759,0.389941,3,7,0,-1456,1.84175,1.64926,1.87585,2.48726,-0.309886,-0.0618727,0.0421347,0.170842,0.0698907,-0.264874,-0.283884,0.586998,0.281103,0.384444,-0.893336,-2.11974e-05,-0.724111,-0.0917991,0.556011,-0.370709,-0.445939,-0.215873,1.70145,1.09039,-0.773698,0.461862,0.114716,0.133701,-1.26838,0.526308,0.595831,-0.391852,-0.275345,0.00539693,-0.219654,0.78016
