# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_4ba3117b2609_model
# start_datetime = 2025-01-25 20:50:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpi9m7ws/standata-910146e27e83.json
# init = 2 (Default)
# random
#   seed = 1773305174
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_simple-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_simple-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.835871
# Diagonal elements of inverse mass matrix:
# 0.00473754, 0.00482306, 0.0045384, 0.0023782
1274.67,0.971288,0.835871,2,3,0,-1271.62,1.97612,1.97018,1.87739,2.5735
1272.62,0.773996,0.835871,2,3,0,-1271.13,1.84191,1.85797,2.07928,2.66842
1272.23,0.849251,0.835871,2,3,0,-1269.87,1.99556,1.87163,1.86786,2.48979
1273.38,0.957694,0.835871,2,3,0,-1270.45,1.97063,2.01969,1.98766,2.68112
1276.18,1,0.835871,2,3,0,-1273.62,1.96058,1.92405,1.95897,2.59557
1275.53,0.847786,0.835871,2,7,0,-1274.7,1.97831,1.83467,1.979,2.62496
1274.06,0.506689,0.835871,2,3,0,-1268.99,1.94685,1.86679,1.98775,2.50416
1273.64,0.914627,0.835871,3,7,0,-1271.46,1.88278,1.91785,1.99881,2.70284
1275.99,1,0.835871,2,3,0,-1273.74,1.96325,1.85747,1.95972,2.61213
1275.11,0.910697,0.835871,2,3,0,-1274.85,1.92291,1.91978,2.02883,2.65805
1274.99,0.819712,0.835871,2,7,0,-1272.43,1.96767,1.84875,1.96775,2.53748
1273.32,0.832829,0.835871,3,7,0,-1272.34,1.81472,1.97256,2.04536,2.6181
1273.93,0.873863,0.835871,2,3,0,-1270.89,1.81461,1.9796,1.98472,2.6129
1273.71,0.937945,0.835871,2,7,0,-1271.95,1.93262,1.77007,1.92917,2.54714
1274.15,0.942825,0.835871,3,7,0,-1271.33,1.99385,1.8203,2.05217,2.57007
1274.71,1,0.835871,2,3,0,-1273.71,1.94991,1.79471,2.00663,2.57532
1275.76,0.967597,0.835871,3,7,0,-1274.34,1.91427,1.95774,1.94658,2.62444
1273.09,0.744372,0.835871,2,7,0,-1272.64,1.91629,1.76039,1.90724,2.66276
1274.91,0.990869,0.835871,2,3,0,-1272.16,1.99756,1.80386,1.95388,2.60877
1274.96,0.973669,0.835871,3,7,0,-1273.6,2.03005,1.87762,2.02022,2.61366
1274.96,0.95686,0.835871,3,7,0,-1273.52,2.03669,1.87009,1.995,2.62333
1274.77,0.931869,0.835871,3,7,0,-1273.25,1.83038,1.94525,1.94433,2.60469
1274.45,0.950308,0.835871,2,7,0,-1273.34,1.97145,1.79706,1.94418,2.55247
1274.64,0.967531,0.835871,3,7,0,-1272.78,1.93157,1.97835,1.99996,2.66822
