"accidents","year","limit","day"
9,"1961",0,"1"
9,"1962",0,"1"
11,"1961",0,"2"
20,"1962",0,"2"
9,"1961",0,"3"
15,"1962",0,"3"
20,"1961",0,"4"
14,"1962",0,"4"
31,"1961",0,"5"
30,"1962",0,"5"
26,"1961",0,"6"
23,"1962",0,"6"
18,"1961",0,"7"
15,"1962",0,"7"
19,"1961",0,"8"
14,"1962",0,"8"
18,"1961",0,"9"
16,"1962",0,"9"
13,"1961",0,"10"
20,"1962",0,"10"
29,"1961",0,"11"
17,"1962",1,"11"
40,"1961",0,"12"
23,"1962",1,"12"
28,"1961",0,"13"
16,"1962",1,"13"
17,"1961",0,"14"
20,"1962",1,"14"
15,"1961",0,"15"
13,"1962",1,"15"
21,"1961",0,"16"
13,"1962",1,"16"
24,"1961",0,"17"
9,"1962",1,"17"
15,"1961",0,"18"
10,"1962",1,"18"
32,"1961",0,"19"
17,"1962",1,"19"
22,"1961",0,"20"
12,"1962",1,"20"
24,"1961",0,"21"
7,"1962",1,"21"
11,"1961",0,"22"
11,"1962",1,"22"
27,"1961",0,"23"
15,"1962",1,"23"
12,"1961",1,"24"
19,"1962",1,"24"
41,"1961",1,"25"
32,"1962",1,"25"
15,"1961",1,"26"
22,"1962",1,"26"
18,"1961",1,"27"
24,"1962",1,"27"
11,"1961",1,"28"
9,"1962",1,"28"
19,"1961",1,"29"
10,"1962",0,"29"
19,"1961",1,"30"
14,"1962",0,"30"
9,"1961",1,"31"
18,"1962",0,"31"
21,"1961",1,"32"
26,"1962",0,"32"
22,"1961",1,"33"
38,"1962",0,"33"
23,"1961",1,"34"
31,"1962",0,"34"
14,"1961",1,"35"
12,"1962",0,"35"
19,"1961",1,"36"
8,"1962",0,"36"
15,"1961",1,"37"
22,"1962",0,"37"
13,"1961",1,"38"
17,"1962",0,"38"
22,"1961",1,"39"
31,"1962",0,"39"
42,"1961",1,"40"
49,"1962",0,"40"
29,"1961",1,"41"
23,"1962",0,"41"
21,"1961",1,"42"
14,"1962",0,"42"
12,"1961",1,"43"
25,"1962",0,"43"
16,"1961",1,"44"
24,"1962",0,"44"
17,"1961",0,"45"
18,"1962",0,"45"
27,"1961",0,"46"
19,"1962",0,"46"
37,"1961",0,"47"
29,"1962",1,"47"
32,"1961",0,"48"
17,"1962",1,"48"
25,"1961",0,"49"
17,"1962",1,"49"
20,"1961",0,"50"
15,"1962",1,"50"
40,"1961",0,"51"
25,"1962",1,"51"
21,"1961",0,"52"
9,"1962",1,"52"
18,"1961",0,"53"
16,"1962",1,"53"
35,"1961",0,"54"
25,"1962",1,"54"
21,"1961",0,"55"
25,"1962",1,"55"
25,"1961",0,"56"
16,"1962",1,"56"
34,"1961",0,"57"
22,"1962",1,"57"
42,"1961",0,"58"
21,"1962",1,"58"
27,"1961",0,"59"
17,"1962",1,"59"
34,"1961",0,"60"
26,"1962",1,"60"
47,"1961",0,"61"
41,"1962",1,"61"
36,"1961",0,"62"
25,"1962",1,"62"
15,"1961",0,"63"
12,"1962",1,"63"
26,"1961",0,"64"
17,"1962",1,"64"
27,"1961",0,"65"
21,"1962",0,"65"
18,"1961",0,"66"
19,"1962",0,"66"
16,"1961",0,"67"
24,"1962",0,"67"
32,"1961",0,"68"
44,"1962",0,"68"
28,"1961",0,"69"
31,"1962",0,"69"
17,"1961",0,"70"
21,"1962",0,"70"
16,"1961",0,"71"
20,"1962",0,"71"
19,"1961",0,"72"
19,"1962",0,"72"
18,"1961",0,"73"
20,"1962",0,"73"
22,"1961",0,"74"
29,"1962",0,"74"
37,"1961",0,"75"
48,"1962",0,"75"
29,"1961",0,"76"
36,"1962",0,"76"
18,"1961",0,"77"
15,"1962",0,"77"
14,"1961",0,"78"
16,"1962",0,"78"
14,"1961",0,"79"
29,"1962",0,"79"
18,"1961",0,"80"
12,"1962",0,"80"
21,"1961",0,"81"
24,"1962",1,"81"
39,"1961",0,"82"
26,"1962",1,"82"
39,"1961",0,"83"
16,"1962",1,"83"
21,"1961",0,"84"
15,"1962",1,"84"
15,"1961",0,"85"
12,"1962",1,"85"
17,"1961",0,"86"
22,"1962",1,"86"
20,"1961",0,"87"
24,"1962",1,"87"
24,"1961",0,"88"
16,"1962",1,"88"
30,"1961",0,"89"
25,"1962",1,"89"
25,"1961",0,"90"
14,"1962",1,"90"
8,"1961",0,"91"
15,"1962",1,"91"
21,"1961",0,"92"
9,"1962",1,"92"
